Rules,sv
charmander,
charmeleon,
charizard,
Pikachu ,default
Raichu ,
Jigglypuff ,
Wigglytuff ,
Venonat ,
Venomoth ,
Diglett ,
Dugtrio ,
Meowth ,
Persian ,
Psyduck ,
Golduck ,
Mankey ,
Primeape ,
Growlithe ,
Arcanine ,
Slowpoke ,
Slowbro ,
Magnemite ,
Magneton ,
Grimer ,
Muk ,
Shellder ,
Cloyster ,
Gastly ,
Haunter ,
Gengar ,
Drowzee ,
Hypno ,
Voltorb ,
Electrode ,
Chansey ,
Scyther ,
Tauros ,
Magikarp ,
Gyarados ,
Ditto ,
Eevee ,default
Vaporeon ,
Jolteon ,
Flareon ,
articuno,
zapdos,
moltres,
Dratini ,
Dragonair ,
Dragonite ,
cyndaquil,
quilava,
typhlosion,
Pichu ,
Igglybuff ,
Mareep ,
Flaaffy ,
Ampharos ,
Marill ,
Azumarill ,
Sudowoodo ,
Hoppip ,
Skiploom ,
Jumpluff ,
Sunkern ,
Sunflora ,
Wooper ,
quagsire,
Espeon ,
Umbreon ,
Murkrow ,
Slowking ,
Misdreavus ,
Girafarig ,
Pineco ,
Forretress ,
Dunsparce ,
Qwilfish ,
Scizor ,
Heracross ,
Sneasel ,
Teddiursa ,
Ursaring ,
Delibird ,
Houndour ,
Houndoom ,
Phanpy ,
Donphan ,
Stantler ,
Blissey ,
Larvitar ,
Pupitar ,
Tyranitar ,
Wingull ,
Pelipper ,
Ralts ,
Kirlia ,
Gardevoir ,
Surskit ,
Masquerain ,
Shroomish ,
Breloom ,
Slakoth ,
Vigoroth ,
Slaking ,
Makuhita ,
Hariyama ,
Azurill ,
Sableye ,
Meditite ,
Medicham ,
Gulpin ,
Swalot ,
Numel ,
Camerupt ,
Torkoal ,
Spoink ,
Grumpig ,
Cacnea ,
Cacturne ,
Swablu ,
Altaria ,
Zangoose ,
Seviper ,
Barboach ,
Whiscash ,
Shuppet ,
Banette ,
Tropius ,
Snorunt ,
Glalie ,
Luvdisc ,
Bagon ,
Shelgon ,
Salamence ,
Starly ,
Staravia ,
Staraptor ,
Kricketot ,
Kricketune ,
Shinx ,
Luxio ,
Luxray ,
Combee ,
Vespiquen ,
Pachirisu ,
Buizel ,
Floatzel ,
Shellos ,
Gastrodon ,
Drifloon ,
Drifblim ,
Mismagius ,
Honchkrow ,
Stunky ,
Skuntank ,
Bronzor ,
Bronzong ,
Bonsly ,
Happiny ,
Spiritomb ,
Gible ,
Gabite ,
Garchomp ,
Riolu ,
Lucario ,
Hippopotas ,
Hippowdon ,
Croagunk ,
Toxicroak ,
Finneon ,
Lumineon ,
Snover ,
Abomasnow ,
Weavile ,
Magnezone ,
Leafeon ,
Glaceon ,
Gallade ,
Froslass ,
Rotom ,
Uxie,
Mesprit,
Azelf,
Heatran,
Cresselia,
Oshawott,
Dewott,
Samurott,
Petilil ,
Lilligant ,
Basculin ,
Sandile ,
Krokorok ,
Krookodile ,
Zorua ,
Zoroark ,
Gothita ,
Gothorita ,
Gothitelle ,
Deerling ,
Sawsbuck ,
Foongus ,
Amoonguss ,
Alomomola ,
Tynamo ,
Eelektrik ,
Eelektross ,
Axew ,
Fraxure ,
Haxorus ,
Cubchoo ,
Beartic ,
Cryogonal ,
Pawniard ,
Bisharp ,
Rufflet ,
Braviary ,
Deino ,
Zweilous ,
Hydreigon ,
Larvesta ,
Volcarona ,
tornadus,
thundurus,
landorus,
chespin,
quiladin,
chesnaught,
fennekin,
braixen,
delphox,
froakie,
frogadier,
greninja,
Fletchling ,
Fletchinder ,
Talonflame ,
Scatterbug ,
Spewpa ,
Vivillon ,
Litleo ,
Pyroar ,
Flabébé ,
Floette ,red/yellow/orange/blue/white
Florges ,
Skiddo ,
Gogoat ,
Skrelp ,
Dragalge ,
Clauncher ,
Clawitzer ,
Sylveon ,
Hawlucha ,
Dedenne ,
carbink,
Goomy ,
Sliggoo ,
Goodra ,
Klefki ,
Bergmite ,
Avalugg ,
Noibat ,
Noivern ,
rowlet,
dartrix,
decidueye,
Yungoos ,
Gumshoos ,default
Crabrawler ,
Crabominable ,
Oricorio ,
Rockruff ,
Lycanroc ,
Mareanie ,
Toxapex ,
Mudbray ,
Mudsdale ,
Fomantis ,
Lurantis ,default
Salandit ,
Salazzle ,default
Bounsweet ,
Steenee ,
Tsareena ,
Oranguru ,
Passimian ,
Sandygast ,
Palossand ,
Komala ,
Mimikyu ,default
Bruxish ,
grookey,
thwackey,
rillaboom,
scorbunny,
raboot,
cinderace,
sobbel,
drizzile,
inteleon,
Skwovet ,
Greedent ,
Rookidee ,
Corvisquire ,
Corviknight ,
Chewtle ,
Drednaw ,
Rolycoly ,
Carkol ,
Coalossal ,
Applin ,
Flapple ,
Appletun ,
Silicobra ,
Sandaconda ,
Arrokuda ,
Barraskewda ,
Toxel ,
Toxtricity ,
Sinistea ,
Polteageist ,
Hatenna ,
Hattrem ,
Hatterene ,
