Rules,bdsp
Pikachu,default
Raichu,default
Clefairy,
Clefable,
Zubat,
Golbat,
Psyduck,
Golduck,
Abra,
Kadabra,
Alakazam,
Machop,
Machoke,
Machamp,
Tentacool,
Tentacruel,
Geodude,default
Graveler,default
Golem,default
Ponyta,default
Rapidash,default
Magnemite,
Magneton,
Gastly,
Haunter,
Gengar,
Onix,
Lickitung,
Rhyhorn,
Rhydon,
Chansey,
Tangela,
Goldeen,
Seaking,
Mr. Mime,default
Scyther,
Electabuzz,
Magmar,
Magikarp,
Gyarados,
Eevee,default
Vaporeon,
Jolteon,
Flareon,
Porygon,
Snorlax,
Hoothoot,
Noctowl,
Crobat,
Pichu,
Cleffa,
Togepi,
Togetic,
Marill,
Azumarill,
Sudowoodo,
Aipom,
Yanma,
Wooper,default
Quagsire,
Espeon,
Umbreon,
Murkrow,
Misdreavus,
Unown,
Girafarig,
Gligar,
Steelix,
Scizor,
Heracross,
Sneasel,default
Swinub,
Piloswine,
Remoraid,
Octillery,
Mantine,
Houndour,
Houndoom,
Porygon2,
Elekid,
Magby,
Blissey,
Wurmple,
Silcoon,
Beautifly,
Cascoon,
Dustox,
Wingull,
Pelipper,
Ralts,
Kirlia,
Gardevoir,
Azurill,
Nosepass,
Meditite,
Medicham,
Roselia,
Swablu,
Altaria,
Barboach,
Whiscash,
Feebas,
Milotic,
Duskull,
Dusclops,
Tropius,
Chimecho,
Absol,
Snorunt,
Glalie,
Turtwig,
Grotle,
Torterra,
Chimchar,
Monferno,
Infernape,
Piplup,
Prinplup,
Empoleon,
Starly,
Staravia,
Staraptor,
Bidoof,
Bibarel,
Kricketot,
Kricketune,
Shinx,
Luxio,
Luxray,
Budew,
Roserade,
Cranidos,
Rampardos,
Shieldon,
Bastiodon,
Burmy,
Wormadam,
Mothim,
Combee,
Vespiquen,
Pachirisu,
Buizel,
Floatzel,
Cherubi,
Cherrim,
Shellos,
Gastrodon,
Ambipom,
Drifloon,
Drifblim,
Buneary,
Lopunny,
Mismagius,
Honchkrow,
Glameow,
Purugly,
Chingling,
Stunky,
Skuntank,
Bronzor,
Bronzong,
Bonsly,
Mime Jr.,
Happiny,
Chatot,
Spiritomb,
Gible,
Gabite,
Garchomp,
Munchlax,
Riolu,
Lucario,
Hippopotas,
Hippowdon,
Skorupi,
Drapion,
Croagunk,
Toxicroak,
Carnivine,
Finneon,
Lumineon,
Mantyke,
Snover,
Abomasnow,
Weavile,
Magnezone,
Lickilicky,
Rhyperior,
Tangrowth,
Electivire,
Magmortar,
Togekiss,
Yanmega,
Leafeon,
Glaceon,
Gliscor,
Mamoswine,
Porygon-Z,
Gallade,
Probopass,
Dusknoir,
Froslass,
Rotom,
Uxie,
Mesprit,
Azelf,
Dialga,
Palkia,
Giratina,
Manaphy,
