Rules,bdsp
Pikachu,default
Raichu,default
Clefairy,
Clefable,
Zubat,
Golbat,
Psyduck,
Golduck,
Abra,
Kadabra,
Alakazam,
Machop,
Machoke,
Machamp,
Tentacool,
Tentacruel,
Geodude,default
Graveler,default
Golem,default
Ponyta,default
Rapidash,default
Gastly,
Haunter,
Gengar,
Onix,
Chansey,
Goldeen,
Seaking,
Mr. Mime,default
Magikarp,
Gyarados,
Snorlax,
Hoothoot,
Noctowl,
Crobat,
Pichu,
Cleffa,
Marill,
Azumarill,
Sudowoodo,
Aipom,
Wooper,default
Quagsire,
Murkrow,
Misdreavus,
Unown,
Girafarig,
Steelix,
Heracross,
Sneasel,default
Remoraid,
Octillery,
Mantine,
Blissey,
Wurmple,
Silcoon,
Beautifly,
Cascoon,
Dustox,
Wingull,
Pelipper,
Azurill,
Meditite,
Medicham,
Roselia,
Barboach,
Whiscash,
Feebas,
Milotic,
Chimecho,
Turtwig,
Grotle,
Torterra,
Chimchar,
Monferno,
Infernape,
Piplup,
Prinplup,
Empoleon,
Starly,
Staravia,
Staraptor,
Bidoof,
Bibarel,
Kricketot,
Kricketune,
Shinx,
Luxio,
Luxray,
Budew,
Roserade,
Cranidos,
Rampardos,
Shieldon,
Bastiodon,
Burmy,
Wormadam,
Mothim,
Combee,
Vespiquen,
Pachirisu,
Buizel,
Floatzel,
Cherubi,
Cherrim,
Shellos,
Gastrodon,
Ambipom,
Drifloon,
Drifblim,
Buneary,
Lopunny,
Mismagius,
Honchkrow,
Glameow,
Purugly,
Chingling,
Stunky,
Skuntank,
Bronzor,
Bronzong,
Bonsly,
Mime Jr.,
Happiny,
Chatot,
Spiritomb,
Gible,
Gabite,
Garchomp,
Munchlax,
Riolu,
Lucario,
Hippopotas,
Hippowdon,
Skorupi,
Drapion,
Croagunk,
Toxicroak,
Carnivine,
Finneon,
Lumineon,
Mantyke,
Snover,
Abomasnow,
Weavile,
Uxie,
Mesprit,
Azelf,
Dialga,
Palkia,
Manaphy,
