Rules,sv
Charmander,
Charmeleon,
Charizard,
Ekans,
Arbok,
Pikachu ,default
Raichu ,
Sandshrew,
Sandslash,
Clefairy,
Clefable,
Vulpix,
Ninetales,
Jigglypuff ,
Wigglytuff ,
Venonat ,
Venomoth ,
Diglett ,
Dugtrio ,
Meowth ,
Persian ,
Psyduck ,
Golduck ,
Mankey ,
Primeape ,
Growlithe ,
Arcanine ,
Poliwag,
Poliwhirl,
Poliwrath,
Bellsprout,
Weepinbell,
Victrebell,
Geodude,
Graveler,
Golem,
Slowpoke ,
Slowbro ,
Magnemite ,
Magneton ,
Grimer ,
Muk ,
Shellder ,
Cloyster ,
Gastly ,
Haunter ,
Gengar ,
Drowzee ,
Hypno ,
Voltorb ,
Electrode ,
Koffing,
Weezing,
Chansey ,
Scyther ,
Tauros ,
Magikarp ,
Gyarados ,
Ditto ,
Eevee ,default
Vaporeon ,
Jolteon ,
Flareon ,
Snorlax,
Articuno,
Zapdos,
Moltres,
Dratini ,
Dragonair ,
Dragonite ,
Cyndaquil,
Quilava,
Typhlosion,
Sentret,
Furret,
Hoothoot,
Noctowl,
Spinarak,
Ariados,
Pichu ,
Cleffa,
Igglybuff ,
Mareep ,
Flaaffy ,
Ampharos ,
Marill ,
Azumarill ,
Sudowoodo ,
Politoed,
Hoppip ,
Skiploom ,
Jumpluff ,
Aipom,
Sunkern ,
Sunflora ,
Yanma,
Wooper ,
Quagsire,
Espeon ,
Umbreon ,
Murkrow ,
Slowking ,
Misdreavus ,
Girafarig ,
Pineco ,
Forretress ,
Dunsparce ,
Gligar,
Qwilfish ,
Scizor ,
Heracross ,
Sneasel ,
Teddiursa ,
Ursaring ,
Slugma,
Magcargo,
Swinub,
Piloswine,
Delibird ,
Houndour ,
Houndoom ,
Phanpy ,
Donphan ,
Stantler ,
Blissey ,
Larvitar ,
Pupitar ,
Tyranitar ,
Poochyena,
Mightyena,
Lotad,
Lombre,
Ludicolo,
Seedot,
Nuzleaf,
Shiftry,
Wingull ,
Pelipper ,
Ralts ,
Kirlia ,
Gardevoir ,
Surskit ,
Masquerain ,
Shroomish ,
Breloom ,
Slakoth ,
Vigoroth ,
Slaking ,
Makuhita ,
Hariyama ,
Azurill ,
Nosepass,
Sableye ,
Meditite ,
Medicham ,
Volbeat,
Illumise,
Gulpin ,
Swalot ,
Numel ,
Camerupt ,
Torkoal ,
Spoink ,
Grumpig ,
Cacnea ,
Cacturne ,
Swablu ,
Altaria ,
Zangoose ,
Seviper ,
Barboach ,
Whiscash ,
Corphish,
Crawdaunt,
Feebas,
Milotic,
Shuppet ,
Banette ,
Duskull,
Dusclops,
Tropius ,
Chimecho,
Snorunt ,
Glalie ,
Luvdisc ,
Bagon ,
Shelgon ,
Salamence ,
Turtwig,
Grotle,
Torterra,
Chimchar,
Monferno,
Infernape,
Piplup,
Prinplup,
Empoleon,
Starly ,
Staravia ,
Staraptor ,
Kricketot ,
Kricketune ,
Shinx ,
Luxio ,
Luxray ,
Combee ,
Vespiquen ,
Pachirisu ,
Buizel ,
Floatzel ,
Shellos ,
Gastrodon ,
Drifloon ,
Drifblim ,
Ambipom,
Mismagius ,
Honchkrow ,
Chingling,
Stunky ,
Skuntank ,
Bronzor ,
Bronzong ,
Bonsly ,
Happiny ,
Spiritomb ,
Gible ,
Gabite ,
Garchomp ,
Munchlax,
Riolu ,
Lucario ,
Hippopotas ,
Hippowdon ,
Croagunk ,
Toxicroak ,
Finneon ,
Lumineon ,
Snover ,
Abomasnow ,
Weavile ,
Magnezone ,
Yanmega,
Leafeon ,
Glaceon ,
Gliscor,
Mamoswine,
Gallade ,
Probopass,
Dusknoir,
Froslass ,
Rotom ,
Uxie,
Mesprit,
Azelf,
Heatran,
Cresselia,
Oshawott,
Dewott,
Samurott,
Timburr,
Gurdurr,
Conkeldurr,
Sewaddle,
Swadloon,
Leavanny,
Petilil ,
Lilligant ,
Basculin ,
Sandile ,
Krokorok ,
Krookodile ,
Zorua ,
Zoroark ,
Gothita ,
Gothorita ,
Gothitelle ,
Ducklett,
Swanna,
Deerling ,
Sawsbuck ,
Foongus ,
Amoonguss ,
Alomomola ,
Tynamo ,
Eelektrik ,
Eelektross ,
Litwick,
Lampent,
Chandelure,
Axew ,
Fraxure ,
Haxorus ,
Cubchoo ,
Beartic ,
Cryogonal ,
Mienfoo,
Mienshao,
Pawniard ,
Bisharp ,
Rufflet ,
Braviary ,
Vullaby,
Mandibuzz,
Deino ,
Zweilous ,
Hydreigon ,
Larvesta ,
Volcarona ,
Tornadus,
Thundurus,
Landorus,
Chespin,
Quiladin,
Chesnaught,
Fennekin,
Braixen,
Delphox,
Froakie,
Frogadier,
Greninja,
Fletchling ,
Fletchinder ,
Talonflame ,
Scatterbug ,
Spewpa ,
Vivillon ,
Litleo ,
Pyroar ,
Flabébé ,
Floette ,red/yellow/orange/blue/white
Florges ,
Skiddo ,
