Rules,sv
Bulbasaur,
Ivysaur,
Venusaur,
Charmander,
Charmeleon,
Charizard,
Squirtle,
Wartortle,
Blastoise,
Ekans,
Arbok,
Pikachu ,default
Raichu ,
Sandshrew,
Sandslash,
Clefairy,
Clefable,
Vulpix,
Ninetales,
Jigglypuff ,
Wigglytuff ,
Oddish,
Gloom,
Vileplume,
Venonat ,
Venomoth ,
Diglett ,
Dugtrio ,
Meowth ,
Persian ,
Psyduck ,
Golduck ,
Mankey ,
Primeape ,
Growlithe ,
Arcanine ,
Poliwag,
Poliwhirl,
Poliwrath,
Bellsprout,
Weepinbell,
Victrebell,
Tentacool,
Tentacruel,
Geodude,
Graveler,
Golem,
Slowpoke ,
Slowbro ,
Magnemite ,
Magneton ,
Rhyperior,
Electivire,
Magmortar,
Doduo,
Dodrio,
Seel,
Dewgong,
Grimer ,
Muk ,
Shellder ,
Cloyster ,
Gastly ,
Haunter ,
Gengar ,
Drowzee ,
Hypno ,
Voltorb ,
Electrode ,
Exeggcute,
Exeggutor,
Hitmonlee,
Hitmonchan,
Koffing,
Weezing,
Rhyhorn,
Rhydon,
Chansey ,
Horsea,
Seadra,
Scyther ,
Electabuzz,
Magmar,
Tauros ,
Magikarp ,
Gyarados ,
Lapras,
Ditto ,
Eevee ,default
Vaporeon ,
Jolteon ,
Flareon ,
Porygon,
Snorlax,
Articuno,
Zapdos,
Moltres,
Dratini ,
Dragonair ,
Dragonite ,
Chikorita,
Bayleef,
Meganium,
Cyndaquil,
Quilava,
Typhlosion,
Totodile,
Croconaw,
Feraligatr,
Sentret,
Furret,
Hoothoot,
Noctowl,
Spinarak,
Ariados,
Chinchou,
Lanturn,
Pichu ,
Cleffa,
Igglybuff ,
Mareep ,
Flaaffy ,
Ampharos ,
Bellossom,
Marill ,
Azumarill ,
Sudowoodo ,
Politoed,
Hoppip ,
Skiploom ,
Jumpluff ,
Aipom,
Sunkern ,
Sunflora ,
Yanma,
Wooper ,
Quagsire,
Espeon ,
Umbreon ,
Murkrow ,
Slowking ,
Misdreavus ,
Girafarig ,
Pineco ,
Forretress ,
Dunsparce ,
Gligar,
Snubbul,
Granbull,
Qwilfish ,
Scizor ,
Heracross ,
Sneasel ,
Teddiursa ,
Ursaring ,
Slugma,
Magcargo,
Swinub,
Piloswine,
Delibird ,
Skarmory,
Houndour ,
Houndoom ,
Kingdra,
Phanpy ,
Donphan ,
Porygon2,
Stantler ,
Smeargle,
Tyrogue,
Hitmontop,
Elekid,
Magby,
Blissey ,
Raikou,
Entei,
Suicune,
Larvitar ,
Pupitar ,
Tyranitar ,
Treecko,
Grovyle,
Sceptile,
Torchic,
Combusken,
Blaziken,
Mudkip,
Marshtomp,
Swampert,
Poochyena,
Mightyena,
Lotad,
Lombre,
Ludicolo,
Seedot,
Nuzleaf,
Shiftry,
Wingull ,
Pelipper ,
Ralts ,
Kirlia ,
Gardevoir ,
Surskit ,
Masquerain ,
Shroomish ,
Breloom ,
Slakoth ,
Vigoroth ,
Slaking ,
Makuhita ,
Hariyama ,
Azurill ,
Nosepass,
Sableye ,
Meditite ,
Medicham ,
Plusle,
Minun,
Volbeat,
Illumise,
Gulpin ,
Swalot ,
Numel ,
Camerupt ,
Torkoal ,
Spoink ,
Grumpig ,
Trapinch,
Vibrava,
Flygon,
Cacnea ,
Cacturne ,
Swablu ,
Altaria ,
Zangoose ,
Seviper ,
Barboach ,
Whiscash ,
Corphish,
Crawdaunt,
Feebas,
Milotic,
Shuppet ,
Banette ,
Duskull,
Dusclops,
Tropius ,
Chimecho,
Snorunt ,
Glalie ,
Luvdisc ,
Bagon ,
Shelgon ,
Salamence ,
Beldum,
Metang,
Metagross,
Regirock,
Regice,
Registeel,
Latias,
Latios,
Turtwig,
Grotle,
Torterra,
Chimchar,
Monferno,
Infernape,
Piplup,
Prinplup,
Empoleon,
Starly ,
Staravia ,
Staraptor ,
Kricketot ,
Kricketune ,
Shinx ,
Luxio ,
Luxray ,
Cranidos,
Rampardos,
Shieldon,
Bastiodon,
Combee ,
Vespiquen ,
Pachirisu ,
Buizel ,
Floatzel ,
Shellos ,
Gastrodon ,
Drifloon ,
Drifblim ,
Ambipom,
Mismagius ,
Honchkrow ,
Chingling,
Stunky ,
Skuntank ,
Bronzor ,
Bronzong ,
Bonsly ,
Happiny ,
Spiritomb ,
Gible ,
Gabite ,
Garchomp ,
Munchlax,
Riolu ,
Lucario ,
Hippopotas ,
Hippowdon ,
Croagunk ,
Toxicroak ,
Finneon ,
Lumineon ,
Snover ,
Abomasnow ,
Weavile ,
Magnezone ,
Yanmega,
Leafeon ,
Glaceon ,
Gliscor,
Mamoswine,
Porygon-Z,
Gallade ,
Probopass,
Dusknoir,
Froslass ,
Rotom ,
Uxie,
Mesprit,
Azelf,
Heatran,
Regigigas,
Cresselia,
Snivy,
Servine,
Serperior,
Tepig,
Pignite,
Emboar,
Oshawott,
Dewott,
Samurott,
Blitzle,
Zebstrika,
Drilbur,
Excadrill,
Timburr,
Gurdurr,
Conkeldurr,
Sewaddle,
Swadloon,
Leavanny,
Cottonee,
Whimsicott,
Petilil ,
Lilligant ,
Basculin ,
Sandile ,
Krokorok ,
Krookodile ,
Scraggy,
Scrafty,
Zorua ,
Zoroark ,
Minccino,
Cinccino,
Gothita ,
Gothorita ,
Gothitelle ,
Solosis,
Duosion,
Reuniclus,
Ducklett,
Swanna,
Deerling ,
Sawsbuck ,
Foongus ,
Amoonguss ,
Alomomola ,
Joltik,
Galvantula,
Tynamo ,
Eelektrik ,
Eelektross ,
Litwick,
Lampent,
Chandelure,
Axew ,
Fraxure ,
Haxorus ,
Cubchoo ,
Beartic ,
Cryogonal ,
Mienfoo,
Mienshao,
Golett,
Golurk,
Pawniard ,
Bisharp ,
Rufflet ,
Braviary ,
Vullaby,
Mandibuzz,
Deino ,
Zweilous ,
Hydreigon ,
Larvesta ,
Volcarona ,
Cobalion,
Terrakion,
Virizion,
Tornadus,
Thundurus,
Landorus,
Chespin,
Quiladin,
Chesnaught,
Fennekin,
Braixen,
Delphox,
Froakie,
Frogadier,
Greninja,
Fletchling ,
Fletchinder ,
Talonflame ,
Scatterbug ,
Spewpa ,
Vivillon ,
Litleo ,
Pyroar ,
Flabébé ,
Floette ,red/yellow/orange/blue/white
Florges ,
Skiddo ,
Gogoat ,
Espurr,
Meowstic,
Inkay,
Malamar,
Skrelp ,
Dragalge ,
Clauncher ,
Clawitzer ,
Sylveon ,
Hawlucha ,
Dedenne ,
carbink,
Goomy ,
Sliggoo ,
Goodra ,
Klefki ,
Phantump,
Trevenant,
Bergmite ,
Avalugg ,
Noibat ,
Noivern ,
Rowlet,
Dartrix,
Decidueye,
Litten,
Torracat,
Incineroar,
Popplio,
Brionne,
Primarina,
Pikipek,
Trumbeak,
Toucannon,
Yungoos ,
Gumshoos ,default
Grubbin,
Charjabug,
Vikavolt,
Crabrawler ,
Crabominable ,
Oricorio ,
Cutiefly,
Ribombee,
Rockruff ,
Lycanroc ,
Mareanie ,
Toxapex ,
Mudbray ,
Mudsdale ,
Dewpider,
Araquanid,default
Fomantis ,
Lurantis ,default
Salandit ,
Salazzle ,default
Bounsweet ,
Steenee ,
Tsareena ,
Comfey,
Oranguru ,
Passimian ,
Sandygast ,
Palossand ,
Minior,
Komala ,
Mimikyu ,default
Bruxish ,
Jangmo-o,
Hakamo-o,
Kommo-o,
Grookey,
Thwackey,
Rillaboom,
Scorbunny,
Raboot,
Cinderace,
Sobbel,
Drizzile,
Inteleon,
Skwovet ,
Greedent ,
Rookidee ,
Corvisquire ,
Corviknight ,
Chewtle ,
Drednaw ,
Rolycoly ,
Carkol ,
Coalossal ,
Applin ,
Flapple ,
Appletun ,
Silicobra ,
Sandaconda ,
Cramorant,
Arrokuda ,
Barraskewda ,
Toxel ,
Toxtricity ,
Sinistea ,
Polteageist ,
Hatenna ,
Hattrem ,
Hatterene ,
Impidimp ,
Morgrem ,
Grimmsnarl ,
Perrseker,
Milcery,
Alcremie,
Falinks ,
Pincurchin ,
Snom ,
Frosmoth ,
Stonjourner ,
Eiscue ,
Indeedee ,
Morpeko,
Cufant ,
Copperajah ,
Duraludon,
Dreepy ,
Drakloak ,
Dragapult ,
Kubfu,
Urshifu,
Regieleki,
Regidrago,
Glastrier,
Spectrier,
Wyrdeer,
Kleavor,
Ursaluna,
Basculegion,
Sneasler,
Overqwil,
Enamorus,
Sprigatito ,
Floragato ,
Meowscarada ,
Fuecoco ,
Crocalor ,
Skeledirge ,
Quaxly ,
Quaxwell ,
Quaquaval ,
Lechonk ,
Oinkologne ,
Tarountula ,
Spidops ,
Nymble ,
Lokix ,
Pawmi ,
Pawmo ,
Pawmot ,
Tandemaus ,
Maushold ,
Fidough ,
Dachsbun ,
Smoliv ,
Dolliv ,
Arboliva ,
Squawkabilly ,
Nacli ,
Naclstack ,
Garganacl ,
Charcadet ,
Armarouge ,
Ceruledge ,
Tadbulb ,
Bellibolt ,
Wattrel ,
Kilowattrel ,
Maschiff ,
Mabosstiff ,
Shroodle ,
Grafaiai ,
Bramblin ,
Brambleghast ,
Toedscool ,
Toedscruel ,
Klawf ,
Capsakid ,
Scovillain ,
Rellor ,
Rabsca ,
Flittle ,
Espathra ,
Tinkatink ,
Tinkatuff ,
Tinkaton ,
Wiglett ,
Wugtrio ,
Bombirdier ,
Finizen ,
Palafin ,
Varoom ,
Revavroom ,default
Cyclizar ,
Orthworm ,
Glimmet ,
Glimmora ,
Greavard ,
Houndstone ,
Flamigo ,
Cetoddle ,
Cetitan ,
Veluza ,
Dondozo ,
Tatsugiri ,
Annihilape ,
Clodsire ,
Farigiraf ,
Dudunsparce ,
Kingambit ,
Great Tusk,
Scream Tail,
Brute Bonnet,
Flutter Mane,
Slither Wing,
Sandy Shocks,
Iron Treads,
Iron Bundle,
Iron Hands,
Iron Jugulis,
Iron Moth,
Iron Thorns,
Frigibax ,
Arctibax ,
Baxcalibur ,
Gimmighoul ,
Gholdengo ,
Wo-chien,
Chien-pao,
Ting-lu,
Chi-yu,
Roaring Moon,
Iron Valliant,
Walking Wake,
Iron Leaves,
Dipplin,
Poltchageist,
Sinistcha,
Okidogi,
Munkidori,
Fezandipiti,
Ogerpon,
Archaludon,
Hydrapple,
Gouging Fire,
Raging Bolt,
Iron Boulder,
Iron Crown,
Terapagos,
