Rules,swsh
Charmander,
Charmeleon,
Charizard,
Caterpie,
Metapod,
Butterfree,
Pikachu,default
Raichu,
Clefairy,
Clefable,
Vulpix,default
Ninetales,default
Oddish,
Gloom,
Vileplume,
Diglett,default
Dugtrio,default
Meowth,default/galar
Persian,default
Growlithe,default
Arcanine,default
Machop,
Machoke,
Machamp,
Ponyta,
Rapidash,
Farfetch'd,
Shellder,
Cloyster,
Gastly,
Haunter,
Gengar,
Onix,
Krabby,
Kingler,
Hitmonlee,
Hitmonchan,
Koffing,
Weezing,
Rhyhorn,
Rhydon,
Goldeen,
Seaking,
Mr. Mime,
Magikarp,
Gyarados,
Lapras,
Ditto,
Eevee,default
Vaporeon,
Jolteon,
Flareon,
Snorlax,
Hoothoot,
Noctowl,
Chinchou,
Lanturn,
Cleffa,
Pichu,
Togepi,
Togetic,
Natu,
Xatu,
Bellossom,
Sudowoodo,
Wooper,default
Quagsire,
Espeon,
Umbreon,
Wobbuffet,
Steelix,
Qwilfish,default
Shuckle,
Sneasel,default
Swinub,
Piloswine,
Corsola,
Remoraid,
Octillery,
Delibird,
Mantine,
Tyrogue,
Hitmontop,
Larvitar,
Pupitar,
Tyranitar,
Zigzagoon,
Linoone,
Lotad,
Lombre,
Ludicolo,
Seedot,
Nuzleaf,
Shiftry,
Wingull,
Pelipper,
Ralts,
Kirlia,
Gardevoir,
Nincada,
Ninjask,
Shedinja,
Sableye,
Mawile,
Electrike,
Manectric,
Roselia,
Wailmer,
Wailord,
Torkoal,
Trapinch,
Vibrava,
Flygon,
Lunatone,
Solrock,
Barboach,
Whiscash,
Corphish,
Crawdaunt,
Baltoy,
Claydol,
Feebas,
Milotic,
Duskull,
Dusclops,
Wynaut,
Snorunt,
Glalie,
Budew,
Roserade,
Combee,
Vespiquen,
Cherubi,
Cherrim,
Shellos,
Gastrodon,
Drifloon,
Drifblim,
Stunky,
Skuntank,
Bronzor,
Bronzong,
Bonsly,
Mime Jr.,
Munchlax,
Riolu,
Lucario,
Hippopotas,
Hippowdon,
Skorupi,
Drapion,
Croagunk,
Toxicroak,
Mantyke,
Snover,
Abomasnow,
Weavile,
Rhyperior,
Leafeon,
Glaceon,
Mamoswine,
Gallade,
Dusknoir,
Froslass,
Rotom,
Purrloin,
Liepard,
Munna,
Musharna,
Pidove,
Tranquill,
Unfezant,
Roggenrola,
Boldore,
Gigalith,
Woobat,
Swoobat,
Drilbur,
Excadrill,
Timburr,
Gurdurr,
Conkeldurr,
Tympole,
Palpitoad,
Seismitoad,
Throh,
Sawk,
Cottonee,
Whimsicott,
Basculin,red-striped/blue-striped
Darumaka,
Darmanitan,
Maractus,
Dwebble,
Crustle,
Scraggy,
Scrafty,
Sigilyph,
Yamask,
Cofagrigus,
Trubbish,
Garbodor,
Minccino,
Cinccino,
Gothita,
Gothorita,
Gothitelle,
Solosis,
Duosion,
Reuniclus,
Vanillite,
Vanillish,
Vanilluxe,
Karrablast,
Escavalier,
Frillish,
Jellicent,
Joltik,
Galvantula,
Ferroseed,
Ferrothorn,
Klink,
Klang,
Klinklang,
Elgyem,
Beheeyem,
Litwick,
Lampent,
Chandelure,
Axew,
Fraxure,
Haxorus,
Cubchoo,
Beartic,
Shelmet,
Accelgor,
Stunfisk,
Golett,
Golurk,
Pawniard,
Bisharp,
Rufflet,
Braviary,default
Vullaby,
Mandibuzz,
Heatmor,
Durant,
Deino,
Zweilous,
Hydreigon,
Bunnelby,
Diggersby,
Pancham,
Pangoro,
Espurr,
Meowstic,
Honedge,
Doublade,
Aegislash,
Spritzee,
Aromatisse,
Swirlix,
Slurpuff,
Inkay,
Malamar,
Binacle,
Barbaracle,
Helioptile,
Heliolisk,
Sylveon,
Hawlucha,
Goomy,
Sliggoo,default
Goodra,default
Phantump,
Trevenant,
Pumpkaboo,
Gourgeist,
Bergmite,
Avalugg,default
Noibat,
Noivern,
Grubbin,
Charjabug,
Vikavolt,default
Cutiefly,
Ribombee,default
Wishiwashi,
Mareanie,
Toxapex,
Mudbray,
Mudsdale,
Dewpider,
Araquanid,default
Morelull,
Shiinotic,
Salandit,
Salazzle,default
Stufful,
Bewear,
Bounsweet,
Steenee,
Tsareena,
Oranguru,
Passimian,
Wimpod,
Golisopod,
Pyukumuku,
Type: Null,
Silvally,
Turtonator,
Togedemaru,default
Mimikyu,
Drampa,
Dhelmise,
Jangmo-o,
Hakamo-o,
Kommo-o,default
Grookey,
Thwackey,
Rillaboom,
Scorbunny,
Raboot,
Cinderace,
Sobble,
Drizzile,
Inteleon,
Skwovet,
Greedent,
Rookidee,
Corvisquire,
Corviknight,
Blipbug,
Dottler,
Orbeetle,
Nickit,
Thievul,
Gossifleur,
Eldegoss,
Wooloo,
Dubwool,
Chewtle,
Drednaw,
Yamper,
Boltund,
Rolycoly,
Carkol,
Coalossal,
Applin,
Flapple,
Appletun,
Silicobra,
Sandaconda,
Cramorant,
Arrokuda,
Barraskewda,
Toxel,
Toxtricity,
Sizzlipede,
Centiskorch,
Clobbopus,
Grapploct,
Sinistea,
Polteageist,
Hatenna,
Hattrem,
Hatterene,
Impidimp,
Morgrem,
Grimmsnarl,
Obstagoon,
Perrserker,
Cursola,
Sirfetch'd,
Mr. Rime,
Runerigus,
Milcery,
Alcremie,
Falinks,
Pincurchin,
Snom,
Frosmoth,
Stonjourner,
Eiscue,
Indeedee,
Morpeko,
Cufant,
Copperajah,
Dracozolt,
Arctozolt,
Dracovish,
Arctovish,
Duraludon,
Dreepy,
Drakloak,
Dragapult,
